id,parent,region
493,16,ВОЛОДИМИРЕЦЬ
494,16,ГОЩА
495,16,ДЕМИДІВКА
496,16,ДУБРОВИЦЯ
497,16,ЗАРІЧНЕ
498,16,ЗДОЛБУНІВ
499,16,КОРЕЦЬ
500,16,КОСТОПІЛЬ
501,16,МЛИНІВ
502,16,САРНИ
503,16,РАДИВИЛІВ
504,17,СУМИ
505,17,ОХТИРКА
506,17,ГЛУХІВ
507,17,КОНОТОП
508,17,ЛЕБЕДИН
509,17,РОМНИ
510,17,ШОСТКА
511,17,БІЛОПІЛЛЯ
512,17,ВОРОЖБА
513,17,БУРИНЬ
514,17,ВЕЛИКА ПИСАРІВКА
515,17,КРАСНОПІЛЛЯ
516,17,КРОЛЕВЕЦЬ
517,17,ЛИПОВА ДОЛИНА
518,17,НЕДРИГАЙЛІВ
519,17,ПУТИВЛЬ
520,17,СЕРЕДИНА-БУДА
521,17,ДРУЖБА
522,18,ТЕРНОПІЛЬ
523,18,ЧОРТКІВ
524,18,БЕРЕЖАНИ
525,18,КРЕМЕНЕЦЬ
526,18,БОРЩІВ
527,18,БУЧАЧ
528,18,ГУСЯТИН
529,18,КОПИЧИНЦІ
530,18,ХОРОСТКІВ
531,18,ЗАЛІЩИКИ
532,18,ЗБАРАЖ
533,18,ЗБОРІВ
534,18,КОЗОВА
535,18,ПОЧАЇВ
536,18,ЛАНІВЦІ
537,18,МОНАСТИРИСЬКА
538,18,ПІДВОЛОЧИСЬК
539,18,СКАЛАТ
540,18,ПІДГАЙЦІ
541,18,ТЕРЕБОВЛЯ
542,18,ШУМСЬК
543,19,ХАРКІВ
544,19,ІЗЮМ
545,19,КУП'ЯНСЬК
546,19,ЛОЗОВА
547,19,ЛЮБОТИН
548,19,ПЕРВОМАЙСЬКИЙ
549,19,ЧУГУЇВ
550,19,БАЛАКЛІЯ
551,19,БАРВІНКОВЕ
552,19,БЛИЗНЮКИ
553,19,БОГОДУХІВ
554,19,БОРОВА
555,19,ВАЛКИ
556,19,ВЕЛИКИЙ БУРЛУК
557,19,ВОВЧАНСЬК
558,19,ЗМІЇВ
559,19,ДВОРІЧНА
560,19,ДЕРГАЧІ
561,19,ЗАЧЕПИЛІВКА
562,19,КЕГИЧІВКА
563,19,КОЛОМАК
564,19,КРАСНОГРАД
565,19,КРАСНОКУТСЬК
566,19,КРАСНОПАВЛІВКА
